algoritmo	kitdecaptura	preprocesado	muestra	gold_standard	Precision	Recall	Fscore	QueryTpCount	QueryFpCount	QueryTotalCount	TruthTpCount	TruthFnCount	TruthTotalCount	svtype
laconv	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	general	0.011494252873563218	0.010752688172043012	0.011111111111111112	1	86	87	5	460	465	Duplication
laconv	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	pass	0.010471204188481676	0.016556291390728478	0.012828736369467608	4	378	382	5	297	302	Deletion
laconv	IDT-V1	bowtie2-samtools-gatk4	Réplica 1	pass	0.011494252873563218	0.3125	0.022172949002217297	1	86	87	5	11	16	Duplication
laconv	IDT-V1	minimap2-samtools-gatk4	Réplica 2	general	0.008620689655172414	0.005513439007580979	0.006725514922236233	6	690	696	8	1443	1451	Deletion
laconv	IDT-V1	minimap2-samtools-gatk4	Réplica 2	general	0.0	0.0	NaN	0	330	330	0	465	465	Duplication
laconv	IDT-V1	minimap2-samtools-gatk4	Réplica 2	pass	0.004310344827586207	0.009933774834437087	0.006012024048096192	3	693	696	3	299	302	Deletion
laconv	IDT-V1	minimap2-samtools-gatk4	Réplica 2	pass	0.0	0.0	NaN	0	330	330	0	16	16	Duplication
laconv	IDT-V1	minimap2-samtools-gatk4	Réplica 1	general	0.018666666666666668	0.006891798759476223	0.010066872797871575	7	368	375	10	1441	1451	Deletion
laconv	IDT-V1	minimap2-samtools-gatk4	Réplica 1	general	0.00625	0.010752688172043012	0.007905138339920948	1	159	160	5	460	465	Duplication
laconv	IDT-V1	minimap2-samtools-gatk4	Réplica 1	pass	0.010666666666666666	0.016556291390728478	0.012974375608173857	4	371	375	5	297	302	Deletion
laconv	IDT-V1	minimap2-samtools-gatk4	Réplica 1	pass	0.00625	0.3125	0.012254901960784315	1	159	160	5	11	16	Duplication
laconv	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	general	0.005315110098709187	0.011363636363636364	0.0072426280393171226	7	1310	1317	20	1740	1760	Deletion
laconv	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	general	0.0	0.0	NaN	0	5764	5764	0	527	527	Duplication
laconv	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	pass	0.0030372057706909645	0.0189873417721519	0.005236744490508401	4	1313	1317	6	310	316	Deletion
laconv	ROCHE-V1	bowtie2-picard-gatk3	Réplica 5	pass	0.0	0.0	NaN	0	5764	5764	0	15	15	Duplication
laconv	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	general	0.005315110098709187	0.011363636363636364	0.0072426280393171226	7	1310	1317	20	1740	1760	Deletion
laconv	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	general	0.0	0.0	NaN	0	5770	5770	0	527	527	Duplication
laconv	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	pass	0.0030372057706909645	0.0189873417721519	0.005236744490508401	4	1313	1317	6	310	316	Deletion
laconv	ROCHE-V1	bowtie2-samtools-gatk4	Réplica 5	pass	0.0	0.0	NaN	0	5770	5770	0	15	15	Duplication
laconv	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	general	0.007834757834757835	0.01534090909090909	0.010372284696514633	11	1393	1404	27	1733	1760	Deletion
laconv	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	general	0.0	0.0	NaN	0	5871	5871	0	527	527	Duplication
laconv	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	pass	0.002849002849002849	0.0189873417721519	0.00495458298926507	4	1400	1404	6	310	316	Deletion
laconv	ROCHE-V1	minimap2-samtools-gatk4	Réplica 5	pass	0.0	0.0	NaN	0	5871	5871	0	15	15	Duplication
xhmm	IDT-V2	bowtie2-picard-gatk3	Réplica 4	general	0.0	0.0	NaN	0	6	6	0	1366	1366	Deletion
xhmm	IDT-V2	bowtie2-picard-gatk3	Réplica 4	general	0.3333333333333333	0.0234192037470726	0.0437636761487965	1	2	3	10	417	427	Duplication
xhmm	IDT-V2	bowtie2-picard-gatk3	Réplica 4	pass	0.0	0.0	NaN	0	6	6	0	253	253	Deletion
xhmm	IDT-V2	bowtie2-picard-gatk3	Réplica 4	pass	0.0	0.0	NaN	0	3	3	0	14	14	Duplication
xhmm	IDT-V2	bowtie2-picard-gatk3	Réplica 3	general	0.3333333333333333	0.008784773060029283	0.017118402282453638	3	6	9	12	1354	1366	Deletion
xhmm	IDT-V2	bowtie2-picard-gatk3	Réplica 3	general	0.0	0.0	NaN	0	10	10	0	427	427	Duplication
xhmm	IDT-V2	bowtie2-picard-gatk3	Réplica 3	pass	0.2222222222222222	0.043478260869565216	0.07272727272727274	2	7	9	11	242	253	Deletion
xhmm	IDT-V2	bowtie2-picard-gatk3	Réplica 3	pass	0.0	0.0	NaN	0	10	10	0	14	14	Duplication
xhmm	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	general	0.3333333333333333	0.008784773060029283	0.017118402282453638	3	6	9	12	1354	1366	Deletion
xhmm	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	general	0.0	0.0	NaN	0	10	10	0	427	427	Duplication
xhmm	IDT-V2	bowtie2-samtools-gatk4	Réplica 3	pass	0.2222222222222222	0.043478260869565216	0.07272727272727274	2	7	9	11	242	253	Deletion
